timestamp,open,high,low,close,volume
2025-09-25 19:15:00,964.25,967.34,964.25,965.88,264.491
2025-09-25 19:30:00,965.88,967.86,962.51,963.21,205.8501
2025-09-25 19:45:00,963.21,963.69,956.05,957.76,331.988
2025-09-25 20:00:00,957.76,958.89,954.86,955.82,212.6338
2025-09-25 20:15:00,955.82,960.99,955.49,959.15,189.2754
2025-09-25 20:30:00,959.15,959.52,954.24,956.2,196.8588
2025-09-25 20:45:00,956.2,957.96,951.53,952.59,264.8973
2025-09-25 21:00:00,952.59,959.58,951.81,957.29,181.9481
2025-09-25 21:15:00,957.29,958.49,953.64,953.64,158.4309
2025-09-25 21:30:00,953.64,954.0,948.27,950.65,355.9191
2025-09-25 21:45:00,950.65,954.51,949.78,952.86,122.4906
2025-09-25 22:00:00,952.86,956.62,950.0,956.62,217.6985
2025-09-25 22:15:00,956.62,957.59,952.62,953.09,156.1547
2025-09-25 22:30:00,953.09,955.81,952.14,952.3,124.372
2025-09-25 22:45:00,952.3,952.32,945.13,945.43,476.9072
2025-09-25 23:00:00,945.43,951.42,944.16,947.37,270.951
2025-09-25 23:15:00,947.37,948.2,943.57,946.5,301.8203
2025-09-25 23:30:00,946.5,946.5,939.63,944.1,329.1142
2025-09-25 23:45:00,944.1,946.64,942.97,945.78,327.3281
2025-09-26 00:00:00,945.78,951.95,944.63,949.93,355.0664
2025-09-26 00:15:00,949.93,953.6,948.86,952.61,255.4887
2025-09-26 00:30:00,952.61,952.61,944.67,944.72,181.7564
2025-09-26 00:45:00,944.72,956.16,944.63,955.06,265.3593
2025-09-26 01:00:00,955.06,957.53,953.34,956.54,203.1631
2025-09-26 01:15:00,956.54,958.88,955.12,955.12,216.5404
2025-09-26 01:30:00,955.12,957.37,952.79,953.68,186.6186
2025-09-26 01:45:00,953.68,955.88,951.45,952.65,206.014
2025-09-26 02:00:00,952.65,956.58,949.67,950.0,593.3185
2025-09-26 02:15:00,950.0,953.13,948.42,948.46,481.8939
2025-09-26 02:30:00,948.46,950.6,946.58,950.0,193.7151
2025-09-26 02:45:00,950.0,952.8,944.64,945.23,425.207
