timestamp,open,high,low,close,volume
2025-09-25 19:15:00,3923.0,3946.46,3917.97,3938.81,5845.94246
2025-09-25 19:30:00,3938.81,3943.9,3925.42,3929.94,3656.41027
2025-09-25 19:45:00,3929.94,3930.88,3907.13,3909.57,6463.34153
2025-09-25 20:00:00,3909.57,3917.81,3887.03,3894.83,5433.34817
2025-09-25 20:15:00,3894.83,3917.98,3888.74,3905.44,3678.57952
2025-09-25 20:30:00,3905.44,3905.52,3877.79,3892.17,5022.1386
2025-09-25 20:45:00,3892.17,3901.23,3878.54,3885.79,3893.3687
2025-09-25 21:00:00,3885.79,3917.81,3885.79,3900.09,4662.69526
2025-09-25 21:15:00,3900.09,3909.57,3888.27,3895.03,1950.77506
2025-09-25 21:30:00,3895.03,3896.03,3880.88,3890.99,2778.83291
2025-09-25 21:45:00,3890.99,3910.06,3889.52,3904.1,2138.99515
2025-09-25 22:00:00,3904.1,3929.48,3896.87,3928.67,2891.12664
2025-09-25 22:15:00,3928.67,3936.41,3908.94,3909.86,3028.963
2025-09-25 22:30:00,3909.86,3910.91,3896.66,3900.4,2073.53447
2025-09-25 22:45:00,3900.4,3900.4,3881.58,3892.55,3025.73099
2025-09-25 23:00:00,3892.55,3904.69,3886.28,3890.52,4268.0026
2025-09-25 23:15:00,3890.52,3895.19,3877.48,3890.57,3297.43797
2025-09-25 23:30:00,3890.57,3890.57,3850.0,3872.22,8306.51889
2025-09-25 23:45:00,3872.22,3873.54,3855.7,3873.54,5463.58749
2025-09-26 00:00:00,3873.54,3897.5,3873.54,3894.81,3734.21902
2025-09-26 00:15:00,3894.81,3911.53,3890.97,3903.66,6839.0401
2025-09-26 00:30:00,3903.66,3903.66,3873.4,3873.8,4184.67642
2025-09-26 00:45:00,3873.8,3937.87,3866.89,3930.73,12372.01716
2025-09-26 01:00:00,3930.73,3940.2,3919.9,3936.5,4594.34838
2025-09-26 01:15:00,3936.5,3943.69,3928.54,3928.9,4366.96403
2025-09-26 01:30:00,3928.9,3942.76,3926.42,3942.76,2624.23303
2025-09-26 01:45:00,3942.76,3956.77,3937.96,3948.39,4045.65975
2025-09-26 02:00:00,3948.39,3966.19,3941.47,3946.6,6180.53037
2025-09-26 02:15:00,3946.6,3960.28,3942.65,3946.14,3186.21541
2025-09-26 02:30:00,3946.14,3958.21,3942.15,3957.96,2412.53073
2025-09-26 02:45:00,3957.96,3970.3,3953.03,3958.06,3617.75559
2025-09-26 03:00:00,3958.06,3963.01,3945.81,3960.04,3240.97969
2025-09-26 03:15:00,3960.04,3967.23,3953.65,3955.18,2643.48982
2025-09-26 03:30:00,3955.18,3957.11,3943.96,3956.86,4836.72341
2025-09-26 03:45:00,3956.86,3968.38,3952.48,3964.51,2047.45662
2025-09-26 04:00:00,3964.51,3970.67,3958.51,3965.43,2313.44976
2025-09-26 04:15:00,3965.43,3976.08,3957.82,3961.22,2980.90491
2025-09-26 04:30:00,3961.22,3961.48,3938.92,3943.15,3030.84675
2025-09-26 04:45:00,3943.15,3949.2,3939.49,3945.11,1742.69867
2025-09-26 05:00:00,3945.11,3957.11,3942.81,3952.09,2144.57432
2025-09-26 05:15:00,3952.09,3962.55,3952.09,3956.58,1530.74991
2025-09-26 05:30:00,3956.58,3957.07,3943.4,3943.73,1492.35783
2025-09-26 05:45:00,3943.73,3946.64,3919.23,3920.41,7189.1748
